user_id,subscription_type,final_journey
269345,Annual,Other-Other-Log in-Log in-Homepage-Log in-Checkout
270317,Annual,Homepage-Sign up-Checkout
271000,Annual,Homepage-Log in-Coupon
271778,Annual,Coupon
272443,Monthly,Log in-Log in-Log in-Other-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Resources center-Log in-Log in-Log in-Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Checkout-Log in-Log in-Log in-Log in-Log in-Log in-Checkout-Log in-Checkout
273256,Annual,Log in-Pricing-Log in-Homepage-Sign up-Sign up-Log in-Log in-Homepage-Log in-Log in-Career tracks-Pricing-Resources center-Log in-Homepage-Log in-Homepage-Log in-Log in-Log in-Checkout-Checkout
274222,Annual,Homepage-Courses-Coupon-Coupon-Homepage-Log in-Checkout-Checkout
274586,Annual,Coupon-Pricing-Sign up-Log in-Log in-Homepage-Sign up-Coupon-Coupon
275657,Monthly,Other-Homepage-Pricing-Checkout-Coupon
277395,Monthly,Homepage-Log in-Homepage-Pricing-Courses-Log in-Courses-Course certificate-Homepage-Pricing-Upcoming courses-Courses-Sign up-Log in-Homepage-Pricing-Pricing-Courses-Upcoming courses-Homepage-Courses-Upcoming courses-Resources center-Success stories-Career track certificate-About us-Other-Log in-Checkout
278099,Annual,Homepage-Career tracks-Career tracks-Sign up-Coupon-Checkout
278257,Annual,Log in-Other-Log in-Log in-Log in-Coupon
279567,Annual,Pricing-Career track certificate-Resources center-Homepage-Courses-Career tracks-Career track certificate-Course certificate-Other-Sign up-Log in-Coupon-Coupon
279886,Annual,Other-Log in-Log in-Homepage-Career tracks-Career tracks-Career track certificate-Career track certificate-Career tracks-Homepage-Career tracks-Career tracks-Courses-Homepage-Success stories-Career track certificate-Homepage-Career tracks-Log in-Log in-Log in-Homepage-Career tracks-Courses-Log in-Homepage-Career tracks-Success stories-Homepage-Courses-Pricing-Checkout-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Other-Pricing-Homepage-Career tracks-Career tracks-Log in-Homepage-Career tracks-Career tracks-Log in-Other-Sign up-Homepage-Pricing-Homepage-Career tracks-Courses-Pricing-Homepage-Career tracks-Courses-Log in-Homepage-Homepage-Career tracks-Courses-Pricing-Pricing-Resources center-Career track certificate-Courses-Homepage-Career tracks-Homepage-Career tracks-Courses-Homepage-Career tracks-Homepage-Career tracks-Resources center-Courses-Pricing-Checkout-Pricing-Career tracks-Homepage-Resources center-Course certificate-Courses-Courses-Course certificate-Career track certificate-Courses-Courses-Courses-Courses-Homepage-Homepage-Career tracks-Career tracks-Courses-Courses-Courses-Homepage-Courses-Courses-Courses-Courses-Homepage-Courses-Log in-Courses-Pricing-Other-Courses-Other-Courses-Other-Log in-Other-Other-Log in-Other-Homepage-Career tracks-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Homepage-Pricing-Courses-Career track certificate-Career tracks-Career tracks-Courses-Other-Log in-Career tracks-Homepage-Sign up-Homepage-Career tracks-Coupon
280244,Monthly,Homepage-Sign up-Career tracks-Homepage-Career tracks-Pricing-Log in-Sign up-Homepage-Log in-Homepage-Career tracks-Sign up-Log in-Homepage-Sign up-Log in-Homepage-Log in-Homepage-Log in-Homepage-Career tracks-Homepage-Sign up-Log in-Checkout
281132,Annual,Homepage-Career track certificate-Sign up-Homepage-Career track certificate-Pricing-Upcoming courses-Career tracks-Homepage-Sign up-Coupon-Homepage-Career track certificate-Pricing-Courses-Career tracks-Checkout-Other-Homepage-Pricing-Career track certificate-Resources center-Other-Pricing-Career tracks-Career tracks-Career track certificate-Other-Coupon-Coupon
282606,Annual,Homepage-Career track certificate-Sign up-Coupon
282927,Annual,Courses-Log in-Sign up-Log in-Checkout-Coupon-Sign up-Log in-Courses-Sign up-Log in
282998,Annual,Homepage-Career tracks-Courses-Resources center-Other-Career track certificate-Sign up-Log in-Log in-Log in-Log in-Checkout
283073,Monthly,Other-Homepage-Sign up-Log in-Homepage-Sign up-Log in
284423,Annual,Courses-Career track certificate-Courses-Courses-Sign up-Coupon-Homepage-Pricing-Coupon
284947,Annual,Other-Career tracks-Sign up-Other-Sign up-Log in-Resources center-Course certificate-Coupon
285057,Annual,Homepage-Course certificate-Courses-Career tracks-Courses-Log in-Homepage-Log in-Log in-Log in-Courses-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Pricing-Pricing-Checkout-Log in-Homepage-Pricing-Log in-Homepage-Pricing-Homepage-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Log in-Homepage-Log in-Log in-Log in-Checkout-Checkout
285400,Annual,Other-Homepage-Resources center-Other-Log in-Homepage-Pricing-Resources center-Homepage-Pricing-Resources center-Log in-Coupon-Coupon-Checkout
286605,Annual,Homepage-Sign up-Sign up-Other-Sign up-Other-Log in-Courses-Log in-Courses-Career tracks-Other-Career track certificate-Resources center-Other-Coupon-Resources center-Other-Coupon-Coupon-Other-Sign up-Resources center-Other-Homepage-Log in-Coupon-Coupon-Log in-Other-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Homepage-Career tracks-Coupon-Coupon-Coupon
286986,Annual,Pricing-Courses-Sign up-Pricing-Sign up-Homepage-Sign up-Log in-Log in-Log in-Checkout-Log in-Checkout
287136,Monthly,Pricing-Sign up-Log in-Homepage-Log in-Checkout-Checkout-Checkout
287530,Monthly,Career tracks-Courses-Sign up-Homepage-Career tracks-Homepage-Courses-Career tracks-Log in-Career tracks-Career tracks-Courses-Homepage-Pricing-Homepage-Career tracks-Courses-Homepage-Career tracks-Courses-Sign up-Homepage-Career tracks-Courses-Sign up-Homepage-Log in-Homepage-Log in-Log in-Homepage-Career tracks-Homepage-Resources center-Homepage-Resources center-Other-Homepage-Log in-Checkout
288416,Monthly,Homepage-Pricing-Courses-Career tracks-Career tracks-Sign up-Pricing-Sign up-Homepage-Pricing-Career tracks-Courses-Homepage-Career tracks-Career tracks-Sign up-Career tracks-Checkout
289110,Quarterly,Other-Homepage-Career tracks-Sign up-Log in-Log in-Log in-Log in-Checkout-Checkout
289169,Annual,Homepage-Pricing-Sign up-Coupon
289171,Annual,Other-Coupon-Homepage-Sign up-Coupon
289359,Monthly,Homepage-Other-Pricing-Homepage-Sign up-Homepage-Log in-Log in-Homepage-Pricing-Course certificate-Career track certificate-Homepage-Pricing-Career track certificate-Career tracks-Career tracks-Log in-Checkout-Checkout
289370,Monthly,Homepage-Sign up-Other-Pricing-Courses-Log in-Sign up-Homepage-Courses-Log in-Homepage-Log in-Checkout-Checkout-Log in-Sign up-Checkout-Log in-Sign up-Checkout-Log in-Log in-Checkout-Log in-Checkout-Log in-Checkout-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Sign up-Log in-Checkout
